symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio
ADJ,0.094,0.095,,,,0.003,0.03191,30/1/17,0.095,0.098,0.097,0.159,0.08,107990000,,ASX,1189264,-0.008,,0.028,-4030000,13.529,3.357,,0,,,0
ADN,0.013,0.012,,,,-0.001,-0.07692,30/1/17,0.012,0.012,0.012,0.027,0.006,4220000,,ASX,48915,-0.012,,0.027,-870486,295.799,0.481,,0,,,0
ADO,0.04,0.04,,,,0,0.0256,30/1/17,0.04,0.04,0.04,0.07,0.04,45360000,,ASX,3617406,0,,0.01,-3380000,4.94,3.9,,0,,,0
ADR,0.2,0.2,,,,0.01,0.05,30/1/17,0.2,0.24,0.21,0.6,0.11,35490000,,ASX,1970130,-0.05,-0.06,0.18,-6330000,16.09,1.1,,0,,,0
ADV,0.029,0.03,,,,0,0,30/1/17,0.029,0.031,0.029,0.053,0.016,,,ASX,4445879,-0.001,,0,0,,,,0,,,0
ADX,0.018,0.018,,,,0,0,30/1/17,0.018,0.019,0.018,0.019,0.003,13970000,,ASX,1957977,-0.002,0,0.001,-1900000,2516.625,18,,0,,,0
ADY,0.01,0.013,,,,0.003,0.3,30/1/17,0.013,0.013,0.013,0.015,0.007,14990000,,ASX,11500,-0.002,,0.014,-1710000,,0.714,,0,,,0
AEB,0.054,0.056,,,,0,0,30/1/17,0.054,0.056,0.054,0.078,0.042,18420000,,ASX,121161,-0.01,,-0.002,-3170000,,,,0,,,0
AEE,0.037,0.037,,,,-0.002,-0.05405,30/1/17,0.034,0.038,0.035,0.043,0.013,24900000,,ASX,6900128,-0.004,-1,0.03,-1520000,5363.522,1.233,,0,,,0
AEF,86.01,87.5,,,9/8/16,1.49,0.0173,30/1/17,87.5,87.5,87.5,92.5,60,97560000,,ASX,40,2.72,,11.71,5430000,4.16,7.34,32.19,0,,,0
AEG,1.02,1.04,,,,0.01,0.0146,30/1/17,1.04,1.05,1.04,1.37,0.99,,,ASX,220755,-0.02,,0,0,,,,0,,,0
AFG,1.4,1.5,,,9/2/16,0.08,0.0571,30/1/17,1.48,1.55,1.48,1.55,0.9,,,ASX,695120,0.11,0.11,0,0,,,,0,,,0
